Phrase,No,Translation,Example Sentence1,Example Sentence2,Example Sentence Translation1,Example Sentence Translation2
"When it comes to",1,"～に関して言えば","When it comes to cooking, I’m a pro.","When it comes to sports, he’s the best.","料理に関して言えば、私はプロです。","スポーツに関して言えば、彼が一番です。"
"If I do say so myself",2,"自分で言うのもなんだけど","This cake is delicious, if I do say so myself.","I did a great job, if I do say so myself.","このケーキは美味しい、自分で言うのもなんだけど。","自分で言うのもなんだけど、よくできたと思う。"
"Last but not least",3,"最後に重要なことは","Last but not least, I want to thank my parents.","Last but not least, the winner is John!","最後に重要なことは、両親に感謝したいです。","最後に重要なことは、優勝者はジョンです！"
"A big fan of ~",4,"～が大好きだ","I’m a big fan of Japanese anime.","She’s a big fan of Taylor Swift.","日本のアニメが大好きです。","彼女はテイラー・スウィフトの大ファンです。"
"Wouldn’t go so far as to say",5,"～とまでは言わないが","I wouldn’t go so far as to say it’s perfect.","I wouldn’t go so far as to say he’s lying.","完璧だとは言えないけど。","彼が嘘をついているとは言えないけど。"
"As a matter of fact",6,"実際には","As a matter of fact, I’ve already seen that movie.","As a matter of fact, he’s my brother.","実際には、その映画はもう見ました。","実際には、彼は私の兄です。"
"Needless to say",7,"言うまでもなく","Needless to say, he was late again.","Needless to say, the view was breathtaking.","言うまでもなく、彼はまた遅刻しました。","言うまでもなく、その景色は息を呑むほどでした。"
"End up ~ing",8,"結果として～する","I always end up eating too much.","She ended up crying after the meeting.","結果としていつも食べ過ぎてしまう。","結果として彼女は会議後に泣いてしまった."
"The experience has taught me that",9,"～だということをその経験から学んだ","The experience has taught me that patience is key.","The experience has taught me that life is unpredictable.","その経験から忍耐が鍵だと学びました。","その経験から人生は予測できないと学びました。"
"Has nothing to do with",10,"～と関係ない","This issue has nothing to do with you.","His success has nothing to do with luck.","この問題はあなたとは関係ありません。","彼の成功は運とは関係ありません。"
"Come to the conclusion",11,"結論に至る","I’ve come to the conclusion that we need more time.","We came to the conclusion after discussing the issue thoroughly.","私たちはもっと時間が必要だという結論に至りました。","私たちは問題を十分に議論した後、結論に至りました。"
"To the fullest",12,"最大限","Enjoy your life to the fullest.","She lived her days to the fullest despite the difficulties.","人生を最大限に楽しみなさい。","彼女は困難にもかかわらず、毎日を最大限に生きました。"
"Turn out",13,"～であるとわかる","It turned out to be a misunderstanding.","The event turned out to be more successful than expected.","それは誤解であるとわかりました。","イベントは予想以上に成功したとわかりました。"
"Off the top of my head",14,"思いつきで","Off the top of my head, I’d say it’s about 10 kilometers.","I don’t know the exact number, but off the top of my head, it’s 50 people.","思いつきで言うと、それは約10キロだと思います。","正確な数はわかりませんが、思いつきでは50人くらいです。"
"On the fence",15,"はっきりは言えない","I’m still on the fence about which option to choose.","She’s on the fence about whether to accept the offer.","どちらの選択肢を選ぶべきか、まだはっきり決められません。","彼女はその提案を受け入れるべきか迷っています。"
"This may be off topic, but",16,"少し話はズレているかもしれませんが","This may be off topic, but have you seen the latest movie?","This may be off topic, but I’d like to mention one more thing.","少し話はズレているかもしれませんが、最新の映画を見ましたか？","少し話はズレているかもしれませんが、もう1つだけお話ししたいことがあります。"
"Be second to none",17,"右に出るものはない","His cooking skills are second to none.","This hotel’s service is second to none in the city.","彼の料理の腕前は右に出るものがありません。","このホテルのサービスはこの街で右に出るものがありません。"
"Having said that",18,"そうは言っても","Having said that, I still think we should try.","The weather was bad. Having said that, we went out for a walk.","そうは言っても、やってみるべきだと思います。","天気は悪かったですが、そうは言っても散歩に出かけました。"
"To some extent",19,"ある程度","To some extent, I agree with you.","The project succeeded to some extent.","ある程度はあなたに同意します。","プロジェクトはある程度成功しました。"
"The rest is history",20,"あとはご存じの通り","We started with a small shop, and the rest is history.","She met him at a party, and the rest is history.","私たちは小さな店から始めましたが、あとはご存じの通りです。","彼女はパーティーで彼に会い、あとはご存じの通りです。"
"In a nutshell",21,"一言でいうと","In a nutshell, the project was a success.","Let me explain this in a nutshell.","一言でいうと、そのプロジェクトは成功でした。","これを簡単に説明します。"
"One thing leads to another",22,"色んな事が重なって","One thing led to another, and I ended up moving abroad.","He started with a small investment, and one thing led to another.","色んな事が重なって、最終的に海外に移住しました。","小さな投資から始めて、気がつけばいろいろと繋がっていました。"
"To say the least",23,"控えめに言って","His performance was impressive, to say the least.","The trip was exhausting, to say the least.","控えめに言って、彼のパフォーマンスは印象的でした。","控えめに言ってもその旅行は疲れました。"
"The in thing",24,"流行っている","Yoga is the in thing right now.","Wearing vintage clothes is becoming the in thing these days.","ヨガは今流行っています。","ヴィンテージの服を着ることが最近の流行になっています。"
"To an untrained eye",25,"素人目には","To an untrained eye, these paintings look identical.","To an untrained eye, the procedure seems simple.","素人目には、これらの絵は同じに見えます。","素人目には、その手順は簡単に見えます。"
"I couldn’t agree with you more",26,"大賛成です","I couldn’t agree with you more on this decision.","You’re absolutely right, I couldn’t agree with you more.","この決定には大賛成です。","あなたの意見に全く同感です。"
"Once-in-a-lifetime",27,"一生に一度の","Visiting the Great Wall was a once-in-a-lifetime experience.","Winning this prize is a once-in-a-lifetime opportunity.","万里の長城を訪れるのは一生に一度の体験でした。","この賞を獲得するのは一生に一度のチャンスです。"
"Just about anything",28,"大体なんでも","She can fix just about anything.","He knows just about anything about cars.","彼女は大体なんでも修理できます。","彼は車のことなら大体なんでも知っています。"
"It goes without saying that ~",29,"言うまでもなく","It goes without saying that hard work pays off.","It goes without saying that safety comes first.","努力が報われるのは言うまでもありません。","安全が最優先であることは言うまでもありません。"
"What you may call it",30,"なんとかというもの","He used a what-you-may-call-it to fix the pipe.","I can’t remember the name, but it’s a what-you-may-call-it for baking.","彼はなんとかというものを使ってパイプを修理しました。","名前は覚えていませんが、それは焼き菓子用のなんとかというものです。"
"On the rise",31,"上昇中で","The number of subscribers is on the rise.","Her popularity is definitely on the rise.","購読者数は上昇中です。","彼女の人気は間違いなく上昇しています。"
"Been through a lot",32,"色々大変だった","She has been through a lot in her life.","He’s been through a lot of challenges at work recently.","彼女は人生で色々大変な経験をしました。","彼は最近、仕事で多くの困難を経験しました。"
"Have reached the point where",33,"～というところまで来てしまった","I’ve reached the point where I need to take a break.","We’ve reached the point where further discussion is unnecessary.","休憩が必要なところまで来てしまいました。","私たちはこれ以上の議論が不要なところまで来てしまいました。"
"Nothing comes to mind right now, but",34,"今は何も思いつかないですが","Nothing comes to mind right now, but I’ll let you know later.","I tried to recall her name, but nothing comes to mind right now.","今は何も思いつきませんが、後でお知らせします。","彼女の名前を思い出そうとしましたが、今は何も思い浮かびません。"
"Not cut out for ~",35,"～に向いていない","I’m not cut out for a corporate job.","She realized she’s not cut out for teaching.","私は会社勤めには向いていません。","彼女は自分が教職に向いていないことに気づきました。"
"Hardly ever ~",36,"めったに～しない","He hardly ever eats fast food.","They hardly ever visit us anymore.","彼はめったにファストフードを食べません。","彼らはもうほとんど私たちを訪ねてきません。"
